Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
San Diego,105.385,98.445,0.68641,52.4,49.6,18.8,17.5,24.1,22.0,66.4896,2019,-3.50218
UC Davis,96.3666,103.548,0.304366,49.0,52.8,19.9,21.1,22.1,27.7,65.6471,2019,-13.7987
LSU,118.691,97.8534,0.90204,51.2,49.9,17.9,20.1,36.7,30.8,69.6385,2019,7.34025
St. Francis NY,96.6634,105.235,0.273478,48.5,48.9,17.6,19.2,26.9,28.5,68.2488,2019,-11.4645
Fresno St.,108.067,100.124,0.706391,54.5,48.5,18.2,19.5,27.4,25.4,67.5456,2019,-1.84291
UMKC,100.618,107.268,0.323881,49.8,53.6,17.2,20.9,23.5,32.3,66.4295,2019,-13.392
Baylor,115.355,100.398,0.831606,51.2,49.1,19.7,18.6,37.9,29.4,64.9758,2019,0.947127
Oral Roberts,104.63,113.599,0.279734,52.2,54.1,20.4,14.5,29.8,27.1,67.009,2019,-14.1047
Ohio,99.4157,101.6,0.437853,48.6,50.8,20.0,18.5,28.2,27.4,69.3559,2019,-8.45973
Winthrop,105.841,107.993,0.442399,54.2,51.3,20.2,15.4,28.7,25.5,72.7358,2019,-6.34278
Northern Illinois,107.624,105.849,0.547673,52.6,51.9,17.2,17.9,27.2,26.7,65.8408,2019,-8.68065
