Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Army,99.5391,107.623,0.289476,50.0,51.0,19.1,18.9,29.7,31.5,69.2551,-10.6397
Loyola MD,93.3687,105.343,0.199786,42.8,49.7,20.3,17.6,31.9,28.6,62.6399,-13.5176
Belmont,110.905,108.589,0.560378,56.5,51.3,20.3,18.5,28.9,29.6,66.9817,-4.42091
Siena,105.949,112.932,0.324314,47.5,51.4,18.7,21.2,36.3,37.1,66.0566,-14.9148
Southern Utah,98.9419,111.627,0.199855,52.3,51.5,20.1,15.7,22.6,29.3,67.4237,-14.5299
N.C. State,115.638,99.0916,0.855182,49.3,45.5,16.0,14.9,33.9,30.2,64.1303,0.0
Pittsburgh,114.613,103.843,0.75673,49.1,50.0,15.7,17.4,34.3,31.6,60.3265,-1.5701
Furman,99.606,111.121,0.221314,49.0,52.3,21.1,16.5,29.5,32.3,62.2149,-15.9379
Massachusetts,106.326,102.883,0.593523,47.3,48.7,20.5,17.5,34.0,31.3,67.1465,-4.75998
Mount St. Mary's,98.2683,104.137,0.33916,47.2,49.6,19.0,21.3,30.6,32.4,62.2042,-9.30323
Bryant,104.145,110.34,0.339736,48.8,48.3,18.3,16.6,29.5,32.0,62.9325,-10.0868
Syracuse,107.528,92.7957,0.844818,47.3,46.4,17.9,21.1,33.5,31.3,65.7566,-0.375132
Jacksonville St.,94.6955,107.903,0.182206,43.0,51.1,18.5,19.2,28.7,34.5,63.1872,-13.7832
McNeese St.,101.451,112.212,0.238776,46.4,51.9,16.0,18.5,33.7,34.4,62.6882,-10.9796
Quinnipiac,103.372,102.949,0.511762,44.0,45.2,20.4,14.0,42.1,26.5,66.059,-10.5887
Rhode Island,103.91,93.1003,0.779586,48.9,43.9,20.8,21.8,32.3,29.2,65.3183,-1.04791
Detroit Mercy,102.998,105.536,0.430491,49.7,52.0,19.3,21.2,29.4,29.8,67.3361,0.0
Sam Houston St.,103.735,96.2543,0.702808,47.6,45.1,19.7,20.4,36.0,27.3,64.3369,-3.16766
East Tennessee St.,103.448,106.481,0.41768,49.8,51.3,18.7,21.4,29.6,33.0,67.2985,-8.70464
