Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Indiana St.,99.2677,101.42,0.438652,47.8,47.9,17.8,17.8,22.4,29.3,69.7344,2017,-11.6433
UCLA,123.528,100.493,0.914768,59.8,48.7,15.1,15.8,29.1,28.6,73.2803,2017,6.68356
Pacific,99.7201,106.319,0.323694,44.6,52.5,17.0,16.5,29.3,24.1,66.3698,2017,-12.5175
Texas A&M,109.041,96.6183,0.800743,51.2,47.2,21.2,17.4,37.4,31.2,64.4404,2017,-2.88175
North Texas,96.7798,110.425,0.179926,47.4,50.4,18.4,17.8,26.5,31.2,69.8283,2017,-17.4484
Nevada,114.689,101.618,0.800846,52.5,48.3,15.5,15.9,30.4,26.3,69.6554,2017,1.83216
UTSA,95.8173,103.226,0.298068,42.6,49.7,18.1,17.6,32.4,24.2,68.1736,2017,-13.1744
Hartford,93.2071,110.763,0.120835,47.5,51.9,20.4,18.4,24.7,34.3,68.9328,2017,-17.9217
Mississippi Valley St.,95.636,119.38,0.0724096,46.6,56.4,19.7,19.5,30.4,33.9,71.0827,2017,-18.1184
Gardner Webb,102.377,103.198,0.477052,52.1,49.0,20.4,20.4,30.8,28.6,70.9599,2017,-8.16688
Norfolk St.,94.4308,106.115,0.207256,47.4,48.0,20.5,16.7,29.7,28.9,68.4367,2017,-10.7963
Chattanooga,106.162,102.079,0.61087,51.9,50.7,19.8,21.4,31.2,32.7,65.7324,2017,-5.39236
Georgia Southern,105.245,107.321,0.444087,51.5,51.3,17.0,18.7,25.2,33.0,68.3814,2017,-7.84265
Northern Arizona,95.3697,110.28,0.158363,46.7,52.9,20.4,16.7,31.3,26.9,69.5608,2017,-18.9608
Nebraska,105.254,99.4743,0.656885,46.0,52.0,18.6,19.3,33.7,29.9,68.1029,2017,-5.45165
Yale,106.407,105.852,0.515027,52.3,49.7,19.3,17.0,31.2,28.5,67.8341,2017,-4.61031
Tennessee Martin,106.125,111.122,0.370699,52.7,52.6,21.6,19.0,37.4,32.4,67.798,2017,-6.55174
Morehead St.,106.025,109.113,0.418183,51.0,55.1,18.5,19.4,35.2,28.1,68.4155,2017,-10.1592
Tennessee,109.811,97.3788,0.799264,46.8,48.6,17.4,19.3,31.8,30.1,69.4217,2017,-2.25047
Texas St.,102.252,100.974,0.536102,50.5,47.7,18.2,19.9,28.2,29.6,62.1698,2017,-8.1392
Jackson St.,93.2192,109.381,0.137213,44.2,49.6,18.5,19.8,34.0,28.7,64.266,2017,-14.5249
Mississippi,111.058,101.353,0.741093,48.8,49.8,19.3,18.8,33.9,30.0,71.3354,2017,-1.27779
Wyoming,105.326,102.259,0.584142,51.6,46.2,17.7,16.2,22.7,27.7,72.8696,2017,-7.37347
Minnesota,110.095,93.8585,0.86234,48.7,45.1,16.1,17.6,29.7,30.2,69.5494,2017,3.69248
Illinois,105.961,96.3071,0.749994,50.6,49.9,18.3,18.5,28.6,26.3,66.7274,2017,-1.44155
LIU,100.423,107.404,0.315864,48.5,49.5,20.9,19.5,36.4,28.9,66.8845,2017,0.0
UTEP,100.456,102.745,0.435598,51.8,49.5,19.0,17.5,22.2,25.0,66.1821,2017,-11.4517
Loyola Chicago,108.153,101.844,0.666219,55.3,51.8,17.3,20.9,20.6,25.8,65.7473,2017,-7.13822
Texas,104.099,94.6257,0.749738,48.8,48.1,19.6,18.3,28.4,31.2,67.6263,2017,-5.79031
Maryland Eastern Shore,97.3014,113.377,0.146993,48.4,52.8,18.0,19.3,27.1,33.7,68.4866,2017,-13.6236
Western Illinois,97.6978,108.801,0.224798,50.4,51.2,18.4,13.8,18.9,25.4,68.6584,2017,-15.1771
